1/T (1/K),1.5e12 per cm2,1.1e12 per cm2,7.3e11 per cm2,5.8e11 per cm2,2.9e11 per cm2,1.5e11 per cm2
0.0120264582080577,2.15073E-6,2.46536E-6,3.21502E-6,3.61319E-6,4.7621E-6,6.0783E-6
0.0107353730542136,2.26999E-6,2.64277E-6,3.37262E-6,3.83158E-6,4.94651E-6,6.30403E-6
0.00969461948618517,2.41696E-6,2.7792E-6,3.56249E-6,4.04318E-6,5.14664E-6,6.53782E-6
0.00883782589482987,2.47923E-6,2.84888E-6,3.58904E-6,4.02271E-6,5.16849E-6,6.58443E-6
0.00812017864393017,2.03089E-6,2.34211E-6,3.06503E-6,3.47499E-6,4.52198E-6,5.87729E-6
0.00751032669921142,2.284E-6,2.58148E-6,3.34093E-6,3.7546E-6,4.96291E-6,6.30078E-6
0.0069856793573175,2.13956E-6,2.4489E-6,3.20536E-6,3.60926E-6,4.75472E-6,6.05823E-6
0.00652954619653934,2.29985E-6,2.64677E-6,3.41546E-6,3.82687E-6,5.00942E-6,6.30802E-6
0.00612932883849219,2.40594E-6,2.74013E-6,3.49074E-6,3.92655E-6,5.14892E-6,6.47562E-6
0.00577533930118395,2.19342E-6,2.52929E-6,3.25393E-6,3.63457E-6,4.72167E-6,6.0829E-6
0.00517732332384157,2.28788E-6,2.61916E-6,3.41431E-6,3.80336E-6,4.97298E-6,6.26469E-6
0.00469153178512784,2.2451E-6,2.50637E-6,3.28925E-6,3.67455E-6,4.81654E-6,6.12138E-6
0.00428908428050611,2.65139E-6,2.99213E-6,3.66899E-6,4.07754E-6,5.16319E-6,6.39955E-6
0.00395022713806044,2.64715E-6,2.96048E-6,3.66331E-6,4.03157E-6,5.09757E-6,6.41771E-6
0.00366099212886692,2.77694E-6,3.06515E-6,3.68222E-6,4.08914E-6,5.16479E-6,6.27951E-6
