Gate bias;83 K;93 K;103 K;113 K;123 K;133 K ;143 K ;153 K;163 K;173 K;193 K;213 K;233 K ;253 K ;273 K ;293 K
59.5;1.35E-05;1.40E-05;1.42E-05;1.43E-05;1.44E-05;1.52E-05;1.52E-05;1.55E-05;1.62E-05;1.62E-05;1.65E-05;1.58E-05;1.56E-05;1.51E-05;1.44E-05;1.01E-05
59;1.32E-05;1.37E-05;1.39E-05;1.40E-05;1.41E-05;1.49E-05;1.49E-05;1.52E-05;1.58E-05;1.60E-05;1.62E-05;1.55E-05;1.54E-05;1.49E-05;1.42E-05;9.97E-06
58.5;1.29E-05;1.34E-05;1.36E-05;1.38E-05;1.39E-05;1.46E-05;1.47E-05;1.50E-05;1.55E-05;1.56E-05;1.59E-05;1.52E-05;1.51E-05;1.47E-05;1.40E-05;9.67E-06
58;1.26E-05;1.32E-05;1.34E-05;1.35E-05;1.36E-05;1.44E-05;1.45E-05;1.48E-05;1.53E-05;1.54E-05;1.57E-05;1.50E-05;1.49E-05;1.45E-05;1.37E-05;9.49E-06
57.5;1.24E-05;1.30E-05;1.31E-05;1.33E-05;1.33E-05;1.39E-05;1.42E-05;1.45E-05;1.50E-05;1.51E-05;1.55E-05;1.48E-05;1.47E-05;1.43E-05;1.35E-05;9.32E-06
57;1.21E-05;1.27E-05;1.29E-05;1.30E-05;1.31E-05;1.38E-05;1.39E-05;1.43E-05;1.47E-05;1.48E-05;1.52E-05;1.45E-05;1.45E-05;1.41E-05;1.34E-05;9.17E-06
56.5;1.19E-05;1.24E-05;1.26E-05;1.28E-05;1.29E-05;1.35E-05;1.36E-05;1.40E-05;1.45E-05;1.47E-05;1.50E-05;1.43E-05;1.43E-05;1.39E-05;1.32E-05;9.12E-06
56;1.17E-05;1.22E-05;1.24E-05;1.25E-05;1.26E-05;1.33E-05;1.34E-05;1.38E-05;1.43E-05;1.45E-05;1.48E-05;1.41E-05;1.41E-05;1.37E-05;1.31E-05;8.87E-06
55.5;1.14E-05;1.20E-05;1.22E-05;1.23E-05;1.24E-05;1.30E-05;1.32E-05;1.35E-05;1.41E-05;1.42E-05;1.46E-05;1.37E-05;1.40E-05;1.35E-05;1.29E-05;8.82E-06
55;1.12E-05;1.17E-05;1.19E-05;1.21E-05;1.22E-05;1.29E-05;1.29E-05;1.32E-05;1.39E-05;1.39E-05;1.43E-05;1.36E-05;1.38E-05;1.33E-05;1.27E-05;8.64E-06
54.5;1.10E-05;1.15E-05;1.17E-05;1.18E-05;1.20E-05;1.26E-05;1.27E-05;1.30E-05;1.36E-05;1.36E-05;1.41E-05;1.35E-05;1.35E-05;1.31E-05;1.26E-05;8.49E-06
54;1.07E-05;1.13E-05;1.15E-05;1.16E-05;1.17E-05;1.24E-05;1.25E-05;1.28E-05;1.34E-05;1.34E-05;1.38E-05;1.33E-05;1.33E-05;1.29E-05;1.24E-05;8.34E-06
53.5;1.06E-05;1.11E-05;1.13E-05;1.14E-05;1.16E-05;1.22E-05;1.22E-05;1.26E-05;1.31E-05;1.33E-05;1.36E-05;1.30E-05;1.30E-05;1.28E-05;1.22E-05;8.19E-06
53;1.04E-05;1.09E-05;1.11E-05;1.12E-05;1.13E-05;1.20E-05;1.20E-05;1.23E-05;1.29E-05;1.30E-05;1.33E-05;1.29E-05;1.28E-05;1.26E-05;1.20E-05;8.08E-06
52.5;1.01E-05;1.06E-05;1.08E-05;1.09E-05;1.12E-05;1.17E-05;1.18E-05;1.21E-05;1.27E-05;1.27E-05;1.31E-05;1.27E-05;1.26E-05;1.23E-05;1.19E-05;7.93E-06
52;9.88E-06;1.04E-05;1.06E-05;1.07E-05;1.09E-05;1.15E-05;1.16E-05;1.19E-05;1.25E-05;1.25E-05;1.28E-05;1.24E-05;1.24E-05;1.22E-05;1.17E-05;7.76E-06
51.5;9.72E-06;1.01E-05;1.03E-05;1.05E-05;1.06E-05;1.12E-05;1.13E-05;1.16E-05;1.23E-05;1.23E-05;1.27E-05;1.22E-05;1.22E-05;1.20E-05;1.15E-05;7.68E-06
51;9.52E-06;9.96E-06;1.01E-05;1.03E-05;1.05E-05;1.11E-05;1.11E-05;1.15E-05;1.20E-05;1.20E-05;1.25E-05;1.20E-05;1.20E-05;1.18E-05;1.14E-05;7.54E-06
50.5;9.31E-06;9.78E-06;9.98E-06;1.01E-05;1.03E-05;1.09E-05;1.09E-05;1.13E-05;1.18E-05;1.19E-05;1.23E-05;1.18E-05;1.18E-05;1.16E-05;1.11E-05;7.38E-06
50;9.17E-06;9.57E-06;9.82E-06;9.90E-06;1.01E-05;1.07E-05;1.07E-05;1.10E-05;1.16E-05;1.16E-05;1.20E-05;1.16E-05;1.15E-05;1.15E-05;1.10E-05;7.29E-06
49.5;8.96E-06;9.38E-06;9.62E-06;9.71E-06;9.87E-06;1.05E-05;1.05E-05;1.08E-05;1.14E-05;1.15E-05;1.19E-05;1.14E-05;1.14E-05;1.13E-05;1.08E-05;7.07E-06
49;8.76E-06;9.21E-06;9.43E-06;9.52E-06;9.68E-06;1.03E-05;1.03E-05;1.07E-05;1.12E-05;1.12E-05;1.17E-05;1.13E-05;1.12E-05;1.12E-05;1.06E-05;6.96E-06
48.5;8.54E-06;8.95E-06;9.24E-06;9.36E-06;9.50E-06;1.00E-05;1.01E-05;1.04E-05;1.10E-05;1.11E-05;1.14E-05;1.11E-05;1.10E-05;1.09E-05;1.06E-05;6.77E-06
48;8.36E-06;8.85E-06;9.09E-06;9.15E-06;9.25E-06;9.86E-06;9.99E-06;1.03E-05;1.07E-05;1.09E-05;1.12E-05;1.09E-05;1.09E-05;1.08E-05;1.04E-05;6.74E-06
47.5;8.23E-06;8.67E-06;8.90E-06;9.03E-06;9.10E-06;9.68E-06;9.73E-06;1.01E-05;1.05E-05;1.06E-05;1.10E-05;1.07E-05;1.07E-05;1.06E-05;1.02E-05;6.60E-06
47;7.99E-06;8.46E-06;8.70E-06;8.82E-06;8.89E-06;9.47E-06;9.56E-06;9.94E-06;1.03E-05;1.04E-05;1.08E-05;1.06E-05;1.06E-05;1.04E-05;1.01E-05;6.42E-06
46.5;7.84E-06;8.29E-06;8.48E-06;8.65E-06;8.72E-06;9.33E-06;9.37E-06;9.68E-06;1.02E-05;1.03E-05;1.06E-05;1.04E-05;1.04E-05;1.03E-05;9.90E-06;6.33E-06
46;7.65E-06;8.07E-06;8.33E-06;8.49E-06;8.56E-06;9.09E-06;9.14E-06;9.49E-06;1.00E-05;1.01E-05;1.04E-05;1.02E-05;1.02E-05;1.01E-05;9.75E-06;6.24E-06
45.5;7.53E-06;7.93E-06;8.17E-06;8.30E-06;8.33E-06;8.95E-06;8.98E-06;9.35E-06;9.78E-06;9.90E-06;1.03E-05;9.97E-06;1.01E-05;9.95E-06;9.58E-06;6.14E-06
45;7.36E-06;7.75E-06;7.98E-06;8.10E-06;8.19E-06;8.72E-06;8.81E-06;9.13E-06;9.62E-06;9.70E-06;1.01E-05;9.77E-06;9.88E-06;9.74E-06;9.49E-06;5.87E-06
44.5;7.15E-06;7.59E-06;7.82E-06;7.95E-06;7.99E-06;8.60E-06;8.58E-06;8.95E-06;9.43E-06;9.53E-06;9.92E-06;9.61E-06;9.67E-06;9.58E-06;9.32E-06;5.84E-06
44;7.02E-06;7.39E-06;7.67E-06;7.68E-06;7.81E-06;8.43E-06;8.39E-06;8.73E-06;9.18E-06;9.36E-06;9.72E-06;9.47E-06;9.53E-06;9.44E-06;9.19E-06;5.78E-06
43.5;6.87E-06;7.26E-06;7.47E-06;7.59E-06;7.71E-06;8.21E-06;8.27E-06;8.54E-06;9.02E-06;9.15E-06;9.52E-06;9.28E-06;9.41E-06;9.26E-06;8.99E-06;5.55E-06
43;6.69E-06;7.07E-06;7.33E-06;7.36E-06;7.48E-06;8.04E-06;8.10E-06;8.41E-06;8.88E-06;9.05E-06;9.35E-06;9.15E-06;9.21E-06;9.17E-06;8.86E-06;5.45E-06
42.5;6.55E-06;6.95E-06;7.15E-06;7.21E-06;7.34E-06;7.82E-06;7.91E-06;8.26E-06;8.72E-06;8.92E-06;9.18E-06;8.96E-06;9.05E-06;9.03E-06;8.75E-06;5.30E-06
42;6.38E-06;6.82E-06;7.03E-06;7.06E-06;7.20E-06;7.67E-06;7.72E-06;8.07E-06;8.50E-06;8.75E-06;8.97E-06;8.80E-06;8.88E-06;8.87E-06;8.49E-06;5.31E-06
41.5;6.27E-06;6.63E-06;6.83E-06;6.93E-06;7.03E-06;7.57E-06;7.58E-06;7.89E-06;8.35E-06;8.58E-06;8.83E-06;8.69E-06;8.74E-06;8.72E-06;8.38E-06;5.21E-06
41;6.08E-06;6.47E-06;6.69E-06;6.71E-06;6.88E-06;7.33E-06;7.43E-06;7.72E-06;8.21E-06;8.40E-06;8.72E-06;8.41E-06;8.58E-06;8.58E-06;8.25E-06;5.08E-06
40.5;5.95E-06;6.30E-06;6.54E-06;6.58E-06;6.72E-06;7.18E-06;7.26E-06;7.54E-06;8.03E-06;8.22E-06;8.52E-06;8.20E-06;8.38E-06;8.43E-06;8.03E-06;4.94E-06
40;5.81E-06;6.15E-06;6.36E-06;6.42E-06;6.60E-06;7.01E-06;7.11E-06;7.41E-06;7.90E-06;8.05E-06;8.38E-06;8.02E-06;8.23E-06;8.24E-06;7.90E-06;4.76E-06
39.5;5.70E-06;6.05E-06;6.22E-06;6.28E-06;6.44E-06;6.88E-06;6.96E-06;7.28E-06;7.75E-06;7.87E-06;8.22E-06;7.83E-06;8.12E-06;8.07E-06;7.82E-06;4.71E-06
39;5.56E-06;5.89E-06;6.07E-06;6.13E-06;6.30E-06;6.71E-06;6.82E-06;7.09E-06;7.54E-06;7.67E-06;8.04E-06;7.69E-06;7.96E-06;7.94E-06;7.71E-06;4.57E-06
38.5;5.40E-06;5.76E-06;5.91E-06;6.01E-06;6.18E-06;6.58E-06;6.66E-06;6.94E-06;7.40E-06;7.53E-06;7.86E-06;7.57E-06;7.78E-06;7.79E-06;7.49E-06;4.44E-06
38;5.28E-06;5.57E-06;5.74E-06;5.84E-06;6.04E-06;6.44E-06;6.57E-06;6.77E-06;7.21E-06;7.34E-06;7.70E-06;7.44E-06;7.61E-06;7.66E-06;7.41E-06;4.38E-06
37.5;5.14E-06;5.45E-06;5.66E-06;5.71E-06;5.88E-06;6.30E-06;6.36E-06;6.64E-06;7.10E-06;7.20E-06;7.53E-06;7.29E-06;7.46E-06;7.49E-06;7.24E-06;4.28E-06
37;5.03E-06;5.30E-06;5.50E-06;5.59E-06;5.75E-06;6.15E-06;6.23E-06;6.47E-06;6.87E-06;7.04E-06;7.37E-06;7.18E-06;7.35E-06;7.37E-06;7.10E-06;4.19E-06
36.5;4.89E-06;5.20E-06;5.42E-06;5.47E-06;5.62E-06;5.97E-06;6.06E-06;6.31E-06;6.78E-06;6.89E-06;7.20E-06;7.02E-06;7.23E-06;7.23E-06;6.97E-06;4.07E-06
36;4.76E-06;5.09E-06;5.30E-06;5.33E-06;5.46E-06;5.86E-06;5.93E-06;6.13E-06;6.59E-06;6.76E-06;7.05E-06;6.82E-06;7.08E-06;7.08E-06;6.87E-06;3.91E-06
35.5;4.68E-06;4.95E-06;5.15E-06;5.17E-06;5.33E-06;5.77E-06;5.82E-06;6.02E-06;6.48E-06;6.61E-06;6.89E-06;6.71E-06;6.90E-06;6.92E-06;6.79E-06;3.89E-06
35;4.52E-06;4.85E-06;5.03E-06;5.08E-06;5.15E-06;5.58E-06;5.70E-06;5.87E-06;6.32E-06;6.46E-06;6.76E-06;6.53E-06;6.80E-06;6.77E-06;6.59E-06;3.71E-06
34.5;4.40E-06;4.69E-06;4.89E-06;4.92E-06;5.02E-06;5.51E-06;5.53E-06;5.74E-06;6.20E-06;6.31E-06;6.65E-06;6.38E-06;6.61E-06;6.63E-06;6.48E-06;3.66E-06
34;4.29E-06;4.56E-06;4.74E-06;4.79E-06;4.93E-06;5.37E-06;5.39E-06;5.63E-06;6.05E-06;6.21E-06;6.46E-06;6.24E-06;6.47E-06;6.54E-06;6.41E-06;3.54E-06
33.5;4.20E-06;4.44E-06;4.65E-06;4.65E-06;4.81E-06;5.23E-06;5.27E-06;5.51E-06;5.93E-06;6.08E-06;6.26E-06;6.12E-06;6.40E-06;6.42E-06;6.28E-06;3.46E-06
